"InChI=1S/C10H7NO/c1-2-4-9-7(3-1)8-5-6-12-10(8)11-9/h1-6,11H",4.5,0.394737
"InChI=1S/C12H13N/c1-3-6-11-9-10-7-4-5-8-12(10)13(11)2/h3-5,7-9H,1,6H2,2H3",4.5,0.483333
"InChI=1S/C15H11N/c1-3-7-12(8-4-1)14-11-16-15-10-6-2-5-9-13(14)15/h1-11H",5.3,0.409639
"InChI=1S/C11H9N/c1-2-6-11-9(4-1)8-10-5-3-7-12(10)11/h1-4,6-8H,5H2",4.5,0.358209
"InChI=1S/C12H11NO/c1-3-12(14)11-8-9-6-4-5-7-10(9)13(11)2/h3-8H,1H2,2H3",4.5,0.467742
"InChI=1S/C12H12N2/c1-2-7-13-9-11-8-10-5-3-4-6-12(10)14-11/h2-6,8-9,14H,1,7H2/b13-9+",4.5,0.397059
"InChI=1S/C12H9N/c1-2-6-11-9(4-1)8-10-5-3-7-12(10)13-11/h1-8,13H",4.5,0.391304
"InChI=1S/C7H5NO/c1-2-6-4-9-5-7(6)8-3-1/h1-5H",4.5,0.363636
"InChI=1S/C10H6O2/c1-2-4-9-7(3-1)8-5-11-6-10(8)12-9/h1-6H",4.5,0.432432
"InChI=1S/C10H9N/c1-2-11-8-7-9-5-3-4-6-10(9)11/h2-8H,1H2",4.5,0.481481
"InChI=1S/C11H11N/c1-3-9-4-5-11-10(8-9)6-7-12(11)2/h3-8H,1H2,2H3",4.5,0.377049
"InChI=1S/C12H13N/c1-2-3-9-13-10-8-11-6-4-5-7-12(11)13/h2-8,10H,9H2,1H3/b3-2-",4.5,0.421875
"InChI=1S/C10H9N/c1-2-8-3-4-9-5-6-11-10(9)7-8/h2-7,11H,1H2",4.5,0.355932
"InChI=1S/C11H11N/c1-3-10-8-9-6-4-5-7-11(9)12(10)2/h3-8H,1H2,2H3",4.5,0.527273
"InChI=1S/C11H11N/c1-9(2)12-8-7-10-5-3-4-6-11(10)12/h3-8H,1H2,2H3",4.5,0.490909
"InChI=1S/C12H9NS/c1-2-6-13-9-10(8-11(13)4-1)12-5-3-7-14-12/h1-9H",5.9,0.328571
"InChI=1S/C13H13N/c1-10(2)7-8-12-9-11-5-3-4-6-13(11)14-12/h3-9,14H,1H2,2H3/b8-7+",4.5,0.4375
"InChI=1S/C11H11N/c1-2-5-10-8-9-6-3-4-7-11(9)12-10/h2-4,6-8,12H,1,5H2",4.5,0.465517
"InChI=1S/C8H6BrN/c9-7-3-5-10-4-1-2-8(10)6-7/h1-6H",4.5,0.388889
"InChI=1S/C11H10ClN/c12-7-3-8-13-9-6-10-4-1-2-5-11(10)13/h1-7,9H,8H2/b7-3+",4.5,0.4
"InChI=1S/C13H9NS/c1-2-12-8-15-9-13(12)7-11(1)10-3-5-14-6-4-10/h1-9H",5.7,0.3625
"InChI=1S/C12H13N/c1-2-3-9-13-10-8-11-6-4-5-7-12(11)13/h2,4-8,10H,1,3,9H2",4.5,0.4
"InChI=1S/C9H7Br2N/c1-12-7-5-3-2-4-6(7)8(10)9(12)11/h2-5H,1H3",4.5,0.356164
"InChI=1S/C9H7NO/c11-9-4-3-8-2-1-6-10(8)7-5-9/h1-7H",4.5,0.431034
"InChI=1S/C12H13N/c1-3-6-11-9-10-7-4-5-8-12(10)13(11)2/h3-9H,1-2H3/b6-3+",4.5,0.508475
"InChI=1S/C12H10N2/c13-8-4-3-6-11-9-10-5-1-2-7-12(10)14-11/h1-3,5-7,9,14H,4H2/b6-3-",4.5,0.397059
"InChI=1S/C9H8IN/c1-11-8-5-3-2-4-7(8)6-9(11)10/h2-6H,1H3",4.5,0.568627
"InChI=1S/C12H13N/c1-3-10(2)13-9-8-11-6-4-5-7-12(11)13/h3-10H,1H2,2H3/t10-/m1/s1",4.5,0.45
"InChI=1S/C15H11N/c1-3-7-12(8-4-1)15-11-13-9-5-2-6-10-14(13)16-15/h1-11H",5.3,0.468354
"InChI=1S/C12H13N/c1-2-3-7-11-9-10-6-4-5-8-12(10)13-11/h3-9,13H,2H2,1H3/b7-3-",4.5,0.451613
"InChI=1S/C9H6N2/c10-7-11-6-5-8-3-1-2-4-9(8)11/h1-6H",4.5,0.481481
"InChI=1S/C12H13N/c1-3-11-9-10-7-5-6-8-12(10)13(11)4-2/h3,5-9H,1,4H2,2H3",4.5,0.396825
"InChI=1S/C9H7NO/c11-9-5-1-2-6-10-7-3-4-8(9)10/h1-7H",4.5,0.383333
"InChI=1S/C11H11N/c1-3-9-4-5-11-10(7-9)6-8(2)12-11/h3-7,12H,1H2,2H3",4.5,0.377049
"InChI=1S/C10H9N/c1-2-9-7-8-5-3-4-6-10(8)11-9/h2-7,11H,1H2",4.5,0.509434
"InChI=1S/C11H10BrN/c1-9(12)8-13-7-6-10-4-2-3-5-11(10)13/h2-7H,1,8H2",4.5,0.42623
"InChI=1S/C9H7I2N/c1-12-7-5-3-2-4-6(7)8(10)9(12)11/h2-5H,1H3",4.5,0.356164
"InChI=1S/C12H13N/c1-9(2)7-11-8-10-5-3-4-6-12(10)13-11/h3-6,8,13H,1,7H2,2H3",4.5,0.474576
"InChI=1S/C10H10IN/c1-2-12-9-6-4-3-5-8(9)7-10(12)11/h3-7H,2H2,1H3",4.5,0.423729
"InChI=1S/C12H13N/c1-2-3-7-11-9-10-6-4-5-8-12(10)13-11/h2,4-6,8-9,13H,1,3,7H2",4.5,0.428571
"InChI=1S/C10H9NO/c1-11-7-6-8-2-3-9(12)4-5-10(8)11/h2-7H,1H3",4.5,0.45
"InChI=1S/C12H13N/c1-3-6-11-9-10-7-4-5-8-12(10)13(11)2/h3-9H,1-2H3/b6-3-",4.5,0.508475
"InChI=1S/C10H10BrN/c1-2-12-9-6-4-3-5-8(9)7-10(12)11/h3-7H,2H2,1H3",4.5,0.423729
"InChI=1S/C14H10O/c1-2-10-7-8-14-12(9-10)11-5-3-4-6-13(11)15-14/h2-9H,1H2",4.5,0.445783
"InChI=1S/C11H9N/c1-2-6-11-9(4-1)8-10-5-3-7-12(10)11/h1-6,8H,7H2",4.5,0.358209
"InChI=1S/C8H7NO/c10-8-3-5-9-4-1-2-7(9)6-8/h1-6,10H",4.5,0.388889
"InChI=1S/C12H9NO/c1-2-6-13-9-10(8-11(13)4-1)12-5-3-7-14-12/h1-9H",5.9,0.328571
"InChI=1S/C12H10N2/c1-2-7-14-11(9-13)8-10-5-3-4-6-12(10)14/h2-8H,1H3/b7-2+",4.5,0.367647
"InChI=1S/C11H11N/c1-2-8-12-9-7-10-5-3-4-6-11(10)12/h2-9H,1H3/b8-2+",4.5,0.465517
"InChI=1S/C12H13N/c1-3-9(2)12-8-10-6-4-5-7-11(10)13-12/h3-8,13H,1-2H3/b9-3+",4.5,0.474576
"InChI=1S/C14H10O/c1-2-10-7-8-12-11-5-3-4-6-13(11)15-14(12)9-10/h2-9H,1H2",4.5,0.45122
"InChI=1S/C13H9NS/c1-2-5-12-10(4-1)8-11(9-14-12)13-6-3-7-15-13/h1-9H",4.5,0.36
